time,tp (m) (Total precipitation),avg_ie (kg m**-2 s**-1) (Time-mean moisture flux),avg_sdirswrf (W m**-2) (Time-mean surface direct short-wave radiation flux),"avg_sdirswrfcs (W m**-2) (Time-mean surface direct short-wave radiation flux, clear sky)",avg_sdlwrf (W m**-2) (Time-mean surface downward long-wave radiation flux),"avg_sdlwrfcs (W m**-2) (Time-mean surface downward long-wave radiation flux, clear sky)",avg_sdswrf (W m**-2) (Time-mean surface downward short-wave radiation flux),"avg_sdswrfcs (W m**-2) (Time-mean surface downward short-wave radiation flux, clear sky)",avg_sduvrf (W m**-2) (Time-mean surface downward UV radiation flux),avg_slhtf (W m**-2) (Time-mean surface latent heat flux),avg_snlwrf (W m**-2) (Time-mean surface net long-wave radiation flux),"avg_snlwrfcs (W m**-2) (Time-mean surface net long-wave radiation flux, clear sky)",avg_snswrf (W m**-2) (Time-mean surface net short-wave radiation flux),"avg_snswrfcs (W m**-2) (Time-mean surface net short-wave radiation flux, clear sky)",avg_ishf (W m**-2) (Time-mean surface sensible heat flux),avg_tdswrf (W m**-2) (Time mean top downward short-wave radiation flux),avg_tnlwrf (W m**-2) (Time-mean top net long-wave radiation flux),"avg_tnlwrfcs (W m**-2) (Time-mean top net long-wave radiation flux, clear sky)",avg_tnswrf (W m**-2) (Time-mean top net short-wave radiation flux),"avg_tnswrfcs (W m**-2) (Time-mean top net short-wave radiation flux, clear sky)",avg_tprate (kg m**-2 s**-1) (Time-mean total precipitation rate),avg_vimdf (kg m**-2 s**-1) (Time-mean total column vertically-integrated moisture divergence flux)
2020-01-01 06:00:00,0.0070493743,-4.6246812e-05,156.76498,304.83914,400.40002,383.01544,242.81902,350.1547,29.889275,-115.65394,-47.011242,-63.659184,207.19313,298.85632,-26.747147,485.2257,-234.1207,-276.9042,324.2603,412.8097,8.158956e-05,-3.9808117e-05
2020-02-01 06:00:00,0.008851922,-4.3464614e-05,128.5083,285.69742,400.98822,380.7614,209.87604,329.62494,26.000347,-108.69627,-41.4988,-60.919323,179.70612,282.7222,-22.44122,459.4744,-232.08786,-275.3844,291.96268,391.71558,0.000102451,-5.313914e-05
2020-03-01 06:00:00,0.0030831282,-4.2241587e-05,176.87456,257.58572,380.82956,365.72977,237.9655,297.58258,28.273438,-105.6377,-59.996212,-74.307686,204.99667,256.466,-32.36072,410.88977,-269.74594,-286.38867,299.75314,349.4732,3.56826e-05,3.419475e-06
2020-04-01 06:00:00,0.0011647105,-3.4144792e-05,155.96346,213.0941,363.8771,349.8985,208.80382,249.95729,24.146898,-85.38895,-67.72066,-80.94488,180.2178,215.82045,-32.570625,348.36868,-272.9259,-285.94247,259.7725,294.08145,1.3480143e-05,2.6471665e-05
2020-05-01 06:00:00,0.0012927398,-2.7708593e-05,128.98125,171.17223,339.46082,325.36313,175.31816,206.91856,19.43867,-69.293365,-73.52669,-86.941475,151.37523,178.65831,-25.153934,293.09604,-268.2272,-283.98486,216.90967,243.91533,1.4960656e-05,1.804836e-05
2020-06-01 06:00:00,0.0019133879,-2.2044434e-05,106.84979,142.57347,352.2393,337.97473,151.22008,179.08907,16.733522,-55.128696,-64.117065,-77.66625,130.51254,154.59306,-17.482779,266.30765,-268.15063,-282.1189,195.37967,219.83228,2.2143677e-05,1.4995251e-06
2020-07-01 06:00:00,0.0004430716,-2.1265474e-05,125.19677,152.13165,339.7287,327.72534,169.74889,190.47334,18.496977,-53.18042,-74.1208,-85.4809,146.45656,164.32486,-24.83819,278.94202,-278.91315,-285.50348,212.46179,230.38345,5.127321e-06,2.0245472e-05
2020-08-01 06:00:00,0.0017290616,-2.2428945e-05,145.75781,185.95464,340.14478,326.19714,196.11853,228.36192,21.713743,-56.090054,-77.52856,-90.831726,169.1607,197.14032,-34.230305,325.36926,-272.344,-284.12726,243.50606,271.35834,2.0013063e-05,4.351148e-06
2020-09-01 06:00:00,0.0008804141,-2.5218276e-05,185.74535,230.74847,362.45364,350.14624,243.38174,276.10086,27.806032,-63.065624,-80.5219,-92.21152,210.1633,238.86443,-48.324238,385.59637,-276.30127,-288.81235,298.47858,325.98645,1.0189597e-05,1.4243128e-05
2020-10-01 06:00:00,0.003115401,-3.397839e-05,175.18942,272.8681,383.09033,366.35815,244.87122,317.94,29.2362,-84.97289,-64.83183,-80.940475,212.09447,275.5487,-47.707737,439.9249,-259.99692,-283.27405,315.30078,376.1079,3.6058078e-05,-7.3163656e-06
2020-11-01 06:00:00,0.003127354,-3.9758055e-05,203.66335,303.44263,375.92105,359.81015,277.86136,348.7985,33.17632,-99.426735,-67.85699,-83.31879,238.89792,300.33362,-51.846878,475.50323,-260.80267,-283.6962,347.23703,405.6833,3.6195383e-05,-4.0637956e-06
2020-12-01 06:00:00,0.0065698153,-4.2881176e-05,158.52834,308.75006,397.29517,379.50406,246.09846,354.16238,30.172123,-107.2371,-49.20133,-66.333496,210.17303,303.00073,-33.442318,489.89532,-230.23512,-275.94067,327.72034,417.46817,7.603835e-05,-3.4423912e-05
2021-01-01 06:00:00,0.005890782,-4.4894558e-05,161.92625,305.77286,397.1903,380.33826,250.06604,350.76184,30.554026,-112.27201,-49.401665,-65.59535,213.46236,299.2931,-28.55426,484.8412,-224.26807,-274.53076,328.78308,412.3323,6.8180045e-05,-2.1899397e-05
2021-02-01 06:00:00,0.005495366,-4.400649e-05,169.71521,290.76535,389.07205,372.7272,246.38618,333.71243,29.873978,-110.05139,-55.07174,-70.68556,210.8593,285.99634,-31.781164,459.2052,-246.06421,-280.58307,318.36725,390.9005,6.360319e-05,-2.8268967e-05
2021-03-01 06:00:00,0.0034563942,-4.0768922e-05,168.6226,256.34576,388.10605,374.1552,234.13045,296.1997,28.080706,-101.954796,-56.747192,-70.033585,201.82005,255.34021,-29.749971,411.34784,-250.34258,-280.46536,298.0735,350.3043,4.0003913e-05,4.5489087e-06
2021-04-01 06:00:00,0.0013266787,-3.415839e-05,160.91115,214.03516,361.4007,347.24286,213.05312,250.93286,24.58813,-85.423225,-71.48962,-84.89667,183.68672,216.58647,-38.292736,348.8625,-272.00888,-284.85587,262.30423,294.33508,1.5354188e-05,1.7473381e-05
2021-05-01 06:00:00,0.0012341744,-2.4545692e-05,124.89104,169.05559,351.9841,337.008,171.93462,204.74309,19.351078,-61.383812,-69.31591,-83.485054,148.53705,176.91237,-27.37048,293.44058,-265.23868,-280.9145,216.3834,244.76093,1.428474e-05,8.075363e-06
2021-06-01 06:00:00,0.0015387877,-2.1745507e-05,105.89506,143.37883,345.28235,329.0199,150.41495,179.9633,16.587038,-54.38106,-66.869835,-82.4164,129.74352,155.30078,-23.307611,266.36377,-266.1349,-278.71887,193.81296,219.6849,1.7809563e-05,1.1996514e-05
2021-07-01 06:00:00,0.0005229039,-1.9359857e-05,135.60791,155.74568,314.9323,305.59573,179.1465,194.16083,19.075747,-48.414856,-86.99982,-95.977745,154.35149,167.31157,-30.797342,278.6876,-275.00296,-281.68713,216.41885,229.36943,6.0521625e-06,9.40792e-06
2021-08-01 06:00:00,0.0009175249,-1.7550137e-05,142.54257,184.40851,345.0321,330.8707,194.73724,226.71002,21.688314,-43.889137,-77.3348,-90.79573,167.91422,195.77425,-39.108463,324.9115,-270.53024,-283.3237,243.84239,271.25296,1.0619143e-05,8.228502e-06
2021-09-01 06:00:00,0.0009036702,-2.470462e-05,176.88339,228.1368,368.98553,356.19174,236.39835,273.3061,27.307644,-61.781067,-75.71526,-87.921486,204.35925,236.61807,-50.503307,385.10483,-270.06494,-285.63815,294.43793,326.1714,1.045958e-05,9.892368e-06
2021-10-01 06:00:00,0.0060719377,-3.575684e-05,126.213394,268.65244,385.29175,361.9421,204.59132,314.7673,25.01188,-89.42045,-48.372265,-70.91743,176.68454,272.8111,-31.656273,439.54388,-238.07738,-275.25412,283.46988,375.8041,7.027557e-05,-4.650915e-05
2021-11-01 06:00:00,0.0041849203,-4.121675e-05,180.6905,301.85074,380.14252,361.05072,258.35333,347.53015,31.014793,-103.07451,-59.14386,-77.62122,222.47063,299.31577,-39.386417,475.29288,-255.13318,-282.41437,332.46185,405.66187,4.843591e-05,-1.1893059e-05
2021-12-01 06:00:00,0.0051062107,-4.2685537e-05,183.84174,313.3737,385.2517,366.96146,261.56485,358.53012,31.551586,-106.747635,-57.73065,-75.31151,223.79959,306.5585,-39.4202,489.8455,-254.86115,-281.7141,336.9627,416.61816,5.9098864e-05,-2.2862041e-05
2022-01-01 06:00:00,0.008198847,-4.2870568e-05,157.5303,304.71225,397.15945,379.42178,238.08948,350.13046,29.23385,-107.210045,-47.613605,-64.70733,203.04483,298.7532,-29.457413,484.93518,-238.15678,-275.37436,319.9309,412.41315,9.4893185e-05,-5.185772e-05
2022-02-01 06:00:00,0.005471639,-4.3811513e-05,172.4901,289.88513,392.2501,376.23273,245.10089,332.88858,29.685526,-109.5634,-52.427094,-67.76122,210.45552,285.43066,-29.177671,459.48624,-248.34906,-279.78656,318.73148,391.44846,6.33286e-05,-1.8967638e-05
2022-03-01 06:00:00,0.0041949805,-4.0780596e-05,164.24783,255.25107,392.22708,378.03177,227.65729,295.32724,27.466242,-101.98367,-54.54076,-68.149376,196.09932,254.65445,-31.48175,411.79108,-251.36359,-279.60342,293.48828,350.8703,4.8552596e-05,-9.588035e-06
2022-04-01 06:00:00,0.0022130362,-3.4846358e-05,151.65176,211.16426,374.41962,359.88098,203.55678,248.3037,23.757936,-87.14323,-61.83523,-75.6925,175.6313,214.4831,-30.180367,349.34454,-268.5479,-283.8266,257.1474,295.31046,2.5613113e-05,1.4408201e-05
2022-05-01 06:00:00,0.0015174573,-2.8311848e-05,125.52954,170.16286,343.83572,328.18887,172.73387,206.09833,19.345713,-70.80189,-69.89103,-84.82797,149.13983,177.98412,-27.313314,293.7768,-268.9143,-281.7514,215.99428,244.6795,1.7562974e-05,1.3075941e-05
2022-06-01 06:00:00,0.001180622,-2.1831947e-05,109.022705,144.24986,339.70724,324.9588,154.01346,180.84181,16.87445,-54.597088,-69.00344,-83.09932,132.8128,156.02638,-20.744614,266.4117,-263.35394,-277.67105,196.26732,219.58969,1.3664134e-05,1.8603028e-05
2022-07-01 06:00:00,0.00023726402,-1.7312974e-05,135.17918,153.23622,332.67776,325.29404,179.40271,191.39452,19.355597,-43.296253,-82.16212,-89.1205,154.74483,165.05733,-26.001186,278.42557,-276.1432,-285.08804,219.51363,229.76039,2.746175e-06,1.5417123e-05
2022-08-01 06:00:00,0.0018967165,-2.4322313e-05,133.08234,184.37602,343.47748,326.00165,187.46098,226.7299,20.95596,-60.825115,-72.73391,-89.47306,161.6027,195.78224,-34.003048,324.44318,-262.5633,-279.0562,236.77158,270.72864,2.19518e-05,7.5568732e-06
2022-09-01 06:00:00,0.0035510757,-2.8255588e-05,139.64778,226.74884,361.04468,341.1751,204.20152,272.64883,23.797407,-70.66132,-63.937244,-83.03771,176.33337,236.04227,-38.377605,384.60025,-252.93845,-277.3036,267.18167,325.4536,4.1099385e-05,-1.9834846e-05
2022-10-01 06:00:00,0.0033660799,-3.5716694e-05,165.62204,272.65643,377.21033,359.22507,240.40877,317.69528,28.760256,-89.32032,-59.10491,-76.46776,207.93805,275.26917,-35.250656,439.14606,-245.51242,-278.87183,310.2779,375.25024,3.8958264e-05,-8.696966e-06
2022-11-01 06:00:00,0.0040901112,-4.057394e-05,186.55655,303.23166,370.70316,350.78958,261.3461,348.97705,31.231459,-101.46713,-63.208084,-82.58093,224.56444,300.4151,-46.297577,475.0643,-257.0224,-280.02457,332.82553,405.01654,4.7338446e-05,-1.1103442e-05
2022-12-01 06:00:00,0.0070664333,-4.310898e-05,151.39133,309.41684,391.81693,371.369,235.39445,355.11475,28.940855,-107.8066,-46.956264,-66.65219,201.36069,303.7858,-28.082693,489.77475,-238.3859,-276.4322,318.21802,417.09488,8.178694e-05,-4.1335617e-05
2023-01-01 06:00:00,0.008058808,-4.2388023e-05,142.71942,304.9431,395.1143,375.13748,228.90955,350.53366,28.217188,-106.00358,-44.12221,-63.37338,195.49164,299.1001,-23.428501,485.10144,-229.23058,-273.62344,312.34323,412.45117,9.327313e-05,-5.2975643e-05
2023-02-01 06:00:00,0.0064508137,-4.4895412e-05,154.45998,288.0294,396.83832,380.34103,235.8017,331.11322,28.91403,-112.27402,-46.75271,-62.61089,202.03065,283.9365,-24.107576,459.83572,-226.46489,-272.61124,311.98642,392.08624,7.466136e-05,-2.8084647e-05
2023-03-01 06:00:00,0.0034309728,-4.2202617e-05,168.56197,255.9205,389.5892,376.04803,233.41986,295.83304,28.106873,-105.54006,-54.410015,-67.373184,201.31505,255.10912,-26.552671,412.29565,-245.68233,-277.09824,298.66904,351.40137,3.9709368e-05,4.143377e-06
2023-04-01 06:00:00,0.003671119,-3.67436e-05,136.88486,210.50674,373.68927,357.09113,192.45667,248.04218,22.639658,-91.88827,-57.29681,-73.258705,166.15323,214.28368,-24.450071,349.88025,-260.15442,-281.79596,248.46619,295.76385,4.2488937e-05,-3.3001081e-06
2023-05-01 06:00:00,0.0010614571,-2.8162674e-05,132.5513,170.63324,347.33054,333.9367,178.74632,206.3307,19.97511,-70.42902,-71.282196,-84.07303,154.35585,178.20863,-22.996725,294.1597,-266.74112,-282.21347,221.35988,245.17683,1.2284174e-05,1.584138e-05
2023-06-01 06:00:00,0.0017014551,-2.3462913e-05,118.48356,145.72585,333.1172,320.9811,159.88037,182.2421,17.26369,-58.676136,-73.002975,-84.58714,138.0112,157.17978,-17.13249,266.50272,-273.57507,-283.34027,199.95935,219.44235,1.9692397e-05,9.861821e-06
2023-07-01 06:00:00,0.0006976695,-2.1872309e-05,115.982506,150.81076,342.76736,327.74335,161.82681,189.13481,17.796305,-54.698586,-69.74031,-84.04543,139.58485,163.18108,-22.580536,278.20813,-271.75223,-281.51425,206.02477,229.83772,8.074447e-06,2.0139874e-05
2023-08-01 06:00:00,0.0013765263,-2.3759785e-05,132.31622,182.0273,354.99054,339.9466,185.59116,224.26602,20.91067,-59.41833,-69.372,-83.73449,160.13857,193.75323,-29.027697,324.02518,-266.5054,-282.63586,237.52643,270.8249,1.5931093e-05,6.8480467e-06
2023-09-01 06:00:00,0.0011159554,-2.8918848e-05,171.74,225.7903,375.95483,363.5508,231.1501,270.85333,26.872545,-72.32029,-67.82685,-79.68712,200.13669,234.60669,-41.091522,384.1536,-268.24854,-284.88922,291.82333,325.7087,1.2916058e-05,1.09519215e-05
2023-10-01 06:00:00,0.0052658906,-3.6698657e-05,151.1454,267.24728,397.06125,379.24335,225.05493,312.65952,27.383331,-91.775604,-49.775166,-67.088326,194.38853,271.09613,-36.979336,438.81393,-244.47879,-280.579,301.19894,375.71732,6.094696e-05,-2.7280208e-05
2023-11-01 06:00:00,0.0034749918,-4.308048e-05,192.54305,299.84952,391.4265,377.36508,266.74304,344.91248,32.175606,-107.73532,-59.95555,-73.59222,229.48691,297.1808,-39.385464,474.9066,-249.15073,-282.75046,340.1567,406.01907,4.0218092e-05,8.319755e-06
2023-12-01 06:00:00,0.0030433023,-4.713067e-05,214.21754,312.02228,396.61023,383.53995,287.91562,356.53973,34.767338,-117.86405,-59.982944,-72.5953,246.26009,305.04767,-43.95512,489.77744,-259.37103,-284.89276,360.60886,417.24307,3.5221674e-05,9.162597e-06
2024-01-01 06:00:00,0.0056382804,-4.5537163e-05,172.6638,305.94467,399.43393,383.01904,252.0758,350.9739,30.789444,-113.87902,-50.517624,-66.26068,214.88228,299.477,-34.70174,485.34927,-244.06892,-279.7418,330.65753,412.78558,6.525636e-05,-1.6967708e-05
2024-02-01 06:00:00,0.004703447,-4.3577536e-05,170.90033,288.07272,400.35397,385.57928,246.94029,331.02386,30.1823,-108.978355,-50.578644,-64.72676,211.70787,283.90475,-32.3115,459.574,-241.4112,-278.67862,321.65228,391.8854,5.4436685e-05,-1.0721665e-05
2024-03-01 06:00:00,0.0046491125,-4.0572042e-05,150.83035,252.69461,401.2135,386.1673,215.93907,292.8478,26.186377,-101.46219,-49.12338,-63.615772,186.22896,252.65724,-29.492968,410.95685,-247.9256,-280.26556,285.1809,350.5051,5.380786e-05,-8.585961e-06
2024-04-01 06:00:00,0.001987897,-3.4465724e-05,141.90427,209.11867,383.6081,370.2284,196.3219,246.06065,23.106606,-86.19163,-56.821934,-69.671135,169.61111,212.64034,-23.161898,348.41058,-261.14832,-284.45578,251.9842,294.8715,2.3007437e-05,1.9912664e-05
2024-05-01 06:00:00,0.0010858269,-2.6798338e-05,134.93958,168.10606,361.18423,349.25073,177.2321,203.7719,19.91561,-67.01744,-68.80036,-80.23295,153.12914,176.07088,-26.106098,293.13727,-281.09314,-289.10406,221.72433,244.56052,1.2566778e-05,2.9567145e-05
2024-06-01 06:00:00,0.00023963234,-2.0091396e-05,127.60702,145.82397,341.02017,332.4341,168.00113,181.94821,18.186068,-50.244427,-77.987946,-86.08078,145.06534,156.98312,-20.500717,266.37704,-284.89072,-289.1682,207.45976,219.63557,2.773114e-06,1.9239027e-05
2024-07-01 06:00:00,0.0011365387,-1.7704477e-05,120.52327,151.94139,339.80496,326.40268,165.72348,190.42114,18.098238,-44.27541,-74.12239,-86.95501,142.83627,164.24037,-27.052418,279.05154,-273.2279,-283.11566,208.70413,230.37761,1.3152582e-05,9.733276e-06
2024-08-01 06:00:00,0.0009119664,-2.1645343e-05,162.06708,188.41487,332.99252,323.2324,210.03687,230.61682,22.959871,-54.130543,-87.1748,-96.56371,181.29285,199.03636,-37.825954,325.51297,-281.01566,-288.26373,253.58989,271.23416,1.0553899e-05,1.6200787e-05
2024-09-01 06:00:00,0.0008925574,-2.4474632e-05,195.92607,232.02226,360.1714,350.9808,251.15471,277.116,28.52165,-61.20597,-85.499825,-94.37611,217.16678,239.78787,-50.07429,385.75433,-282.14575,-292.80173,304.14728,326.16425,1.0329853e-05,1.4885194e-05
2024-10-01 06:00:00,0.0041018976,-3.485568e-05,163.2769,271.31085,386.28577,368.78983,236.85733,316.59973,28.41945,-87.16708,-59.221874,-76.15826,204.98616,274.43915,-43.571404,440.07956,-245.86415,-280.15125,309.35873,376.42377,4.747499e-05,-1.7600694e-05
2024-11-01 06:00:00,0.0061475863,-4.0902833e-05,145.83156,297.53018,391.61945,370.98456,227.0376,343.7783,27.796026,-102.28945,-47.719387,-67.72064,195.53737,296.22424,-27.795088,475.64758,-244.64613,-279.9446,309.45844,406.56168,7.115136e-05,-3.8008533e-05
2024-12-01 06:00:00,0.007972531,-4.3133146e-05,145.99902,309.08868,396.42987,376.78146,230.93808,354.74954,28.402029,-107.867424,-45.567066,-64.51333,197.29042,303.4611,-25.419498,490.03354,-233.17627,-277.69492,314.37497,417.3828,9.227343e-05,-5.10126e-05
